,epoch,fitness_estimate,crossover_used,pop_gen_used,im_size
0,0,79.9633155519,crossover_1,random_image_array_1,"(305,264)"
1,100,41.144884157,crossover_1,random_image_array_1,"(305,264)"
2,200,37.8571580885,crossover_1,random_image_array_1,"(305,264)"
3,300,36.1250064927,crossover_1,random_image_array_1,"(305,264)"
4,400,34.5517124881,crossover_1,random_image_array_1,"(305,264)"
5,500,33.2608828632,crossover_1,random_image_array_1,"(305,264)"
6,600,32.0073811858,crossover_1,random_image_array_1,"(305,264)"
7,700,30.9655806291,crossover_1,random_image_array_1,"(305,264)"
8,800,29.916921369,crossover_1,random_image_array_1,"(305,264)"
9,900,29.4814878585,crossover_1,random_image_array_1,"(305,264)"
10,1000,27.7308621585,crossover_1,random_image_array_1,"(305,264)"
11,1100,27.0828747588,crossover_1,random_image_array_1,"(305,264)"
12,1200,26.3905300034,crossover_1,random_image_array_1,"(305,264)"
13,1300,26.3460533312,crossover_1,random_image_array_1,"(305,264)"
14,1400,26.1599875596,crossover_1,random_image_array_1,"(305,264)"
15,1499,25.8817629413,crossover_1,random_image_array_1,"(305,264)"
